fid1	iid1	fid2	iid2	total_ibd_cm	num_segments	max_segment_cm	proportion_shared	predicted_relationship
HG00620	HG00620	HG00621	HG00621	43.211	8	10.778	0.7856545454545454	full-sibling
HG00625	HG00625	HG00627	HG00627	48.311	9	7.819	0.8783818181818182	full-sibling
HG00626	HG00626	HG00627	HG00627	45.245000000000005	10	8.131	0.8226363636363637	full-sibling
HG00628	HG00628	HG00630	HG00630	56.657	9	12.945	1.0301272727272726	full-sibling
HG00629	HG00629	HG00630	HG00630	58.268	9	14.12	1.0594181818181818	full-sibling
HG00634	HG00634	HG00636	HG00636	58.748000000000005	7	16.492	1.0681454545454547	full-sibling
HG00635	HG00635	HG00636	HG00636	51.64	5	25.232	0.9389090909090909	full-sibling
HG00637	HG00637	HG00638	HG00638	3.43	1	3.43	0.062363636363636364	unrelated
HG00637	HG00637	HG00639	HG00639	36.304	8	6.673	0.6600727272727273	full-sibling
HG00637	HG00637	HG01247	HG01247	3.43	1	3.43	0.062363636363636364	unrelated
HG00638	HG00638	HG00639	HG00639	54.796	10	10.466	0.9962909090909091	full-sibling
HG00638	HG00638	HG01073	HG01073	3.035	1	3.035	0.055181818181818186	unrelated
HG00638	HG00638	HG01170	HG01170	6.327	1	6.327	0.11503636363636363	third-degree
HG00638	HG00638	HG01172	HG01172	5.25	1	5.25	0.09545454545454546	third-degree
HG00638	HG00638	HG01247	HG01247	9.512	2	5.99	0.17294545454545454	third-degree
HG00639	HG00639	HG00639	HG00639	4.796	1	4.796	0.0872	unrelated
HG00639	HG00639	HG01247	HG01247	12.221	3	4.72	0.2222	second-degree
HG00640	HG00640	HG00642	HG00642	66.063	8	21.754	1.2011454545454545	full-sibling
HG00640	HG00640	HG00732	HG00732	4.063	1	4.063	0.07387272727272727	unrelated
HG00640	HG00640	HG00733	HG00733	6.757	2	3.733	0.12285454545454545	third-degree
HG00640	HG00640	HG01060	HG01060	3.006	1	3.006	0.05465454545454545	unrelated
HG00640	HG00640	HG01062	HG01062	4.059	1	4.059	0.0738	unrelated
HG00640	HG00640	HG01082	HG01082	4.976	1	4.976	0.09047272727272727	unrelated
HG00640	HG00640	HG01084	HG01084	4.976	1	4.976	0.09047272727272727	unrelated
HG00640	HG00640	HG01105	HG01105	8.23	2	4.171	0.14963636363636365	third-degree
HG00640	HG00640	HG01111	HG01111	4.271	1	4.271	0.07765454545454545	unrelated
HG00640	HG00640	HG01168	HG01168	4.458	1	4.458	0.08105454545454546	unrelated
HG00640	HG00640	HG01171	HG01171	7.746	2	3.937	0.14083636363636365	third-degree
HG00640	HG00640	HG01172	HG01172	3.937	1	3.937	0.07158181818181818	unrelated
HG00640	HG00640	HG01205	HG01205	3.608	1	3.608	0.0656	unrelated
HG00641	HG00641	HG00642	HG00642	49.861000000000004	5	25.21	0.9065636363636365	full-sibling
HG00641	HG00641	HG00740	HG00740	3.233	1	3.233	0.058781818181818185	unrelated
HG00641	HG00641	HG00741	HG00741	3.332	1	3.332	0.06058181818181818	unrelated
HG00641	HG00641	HG01055	HG01055	3.086	1	3.086	0.05610909090909091	unrelated
HG00641	HG00641	HG01056	HG01056	3.233	1	3.233	0.058781818181818185	unrelated
HG00641	HG00641	HG01072	HG01072	6.631	2	3.545	0.12056363636363637	third-degree
HG00641	HG00641	HG01102	HG01102	6.141	1	6.141	0.11165454545454545	third-degree
